latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
38.99977,-87.72549,296,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,280,0.9,N
38.98839,-87.71928,318.2,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,276.3,2.3,N
38.73958,-86.45908,296.4,0.41,0.37,2019-10-12,0748,N,nominal,1.0NRT,277.2,0.8,N
38.79961,-87.24786,297.9,0.4,0.37,2019-10-12,0748,N,nominal,1.0NRT,276.4,0.5,N
38.41677,-85.74822,303.8,0.44,0.38,2019-10-12,0748,N,nominal,1.0NRT,280.4,1.1,N
36.35471,-76.80967,305.6,0.43,0.62,2019-10-12,0748,N,nominal,1.0NRT,283.6,1.3,N
36.35344,-76.805,307.2,0.43,0.62,2019-10-12,0748,N,nominal,1.0NRT,282.8,1.3,N
38.83828,-90.06275,296.1,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,281.2,1.1,N
38.83496,-90.06355,297.1,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,279,0.9,N
38.81879,-90.01498,299,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,274.9,0.6,N
38.69663,-90.12959,299.9,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,280.8,2.1,N
38.69331,-90.13039,329.6,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,278.5,2.1,N
38.69397,-90.13486,296.4,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,278.2,1.4,N
38.69262,-90.14906,301.2,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,276.1,1,N
38.00778,-90.07911,312.8,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,278.6,1.4,N
35.71162,-78.83739,296.2,0.35,0.57,2019-10-12,0748,N,nominal,1.0NRT,284.9,0.6,N
37.9668,-90.07976,304.6,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,277.8,1.1,N
37.96614,-90.07537,303.9,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,276.6,1.1,N
35.71066,-78.83649,300.7,0.35,0.57,2019-10-12,0748,N,nominal,1.0NRT,285.4,0.6,N
37.89195,-90.53159,299.7,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,275.3,0.8,N
37.50121,-89.08403,298.4,0.38,0.36,2019-10-12,0748,N,nominal,1.0NRT,274.7,0.5,N
37.54458,-91.80551,298.3,0.41,0.37,2019-10-12,0748,N,nominal,1.0NRT,272.8,0.4,N
36.68554,-90.03284,299.5,0.38,0.36,2019-10-12,0748,N,nominal,1.0NRT,276.3,0.5,N
36.73552,-90.386,297.9,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,275.6,0.5,N
34.37589,-79.88763,295.4,0.33,0.55,2019-10-12,0748,N,nominal,1.0NRT,277,0.7,N
35.89633,-89.77973,295.3,0.38,0.36,2019-10-12,0748,N,nominal,1.0NRT,281.4,0.7,N
36.1173,-91.29641,304.1,0.4,0.37,2019-10-12,0748,N,nominal,1.0NRT,275.6,1.2,N
35.88975,-89.7813,318.6,0.38,0.36,2019-10-12,0748,N,nominal,1.0NRT,279.6,1.9,N
36.66319,-97.0698,302.5,0.45,0.47,2019-10-12,0748,N,nominal,1.0NRT,276.2,1.3,N
36.66225,-97.07119,303.3,0.45,0.47,2019-10-12,0748,N,nominal,1.0NRT,275.4,1.8,N
35.6461,-89.93443,311.1,0.38,0.36,2019-10-12,0748,N,nominal,1.0NRT,281.5,1.3,N
35.6428,-89.93521,297.8,0.38,0.36,2019-10-12,0748,N,nominal,1.0NRT,281.3,0.8,N
34.49126,-83.77837,295.9,0.41,0.45,2019-10-12,0748,N,nominal,1.0NRT,276.7,0.4,N
36.51796,-97.83941,307.8,0.5,0.49,2019-10-12,0748,N,nominal,1.0NRT,275.7,1.6,N
36.51686,-97.84036,306.9,0.49,0.49,2019-10-12,0748,N,nominal,1.0NRT,274.9,1.6,N
35.79399,-91.74818,298.3,0.4,0.37,2019-10-12,0748,N,nominal,1.0NRT,277.3,0.9,N
35.79337,-91.74374,302.6,0.4,0.37,2019-10-12,0748,N,nominal,1.0NRT,276.3,0.9,N
36.19387,-95.80996,299.3,0.38,0.43,2019-10-12,0748,N,nominal,1.0NRT,276,1.5,N
36.1795,-98.03713,338.5,0.5,0.49,2019-10-12,0748,N,nominal,1.0NRT,274.4,7.7,N
33.01289,-79.88345,328.9,0.36,0.57,2019-10-12,0748,N,nominal,1.0NRT,289.5,2.8,N
33.09941,-80.25447,296.7,0.34,0.56,2019-10-12,0748,N,nominal,1.0NRT,284.9,0.2,N
33.0059,-79.87775,303.6,0.36,0.57,2019-10-12,0748,N,nominal,1.0NRT,289.3,1.8,N
35.93347,-97.13066,341.9,0.45,0.47,2019-10-12,0748,N,nominal,1.0NRT,278.9,16.7,N
35.93301,-97.12563,334.6,0.45,0.47,2019-10-12,0748,N,nominal,1.0NRT,273.1,5.6,N
33.08871,-80.34296,300.5,0.34,0.56,2019-10-12,0748,N,nominal,1.0NRT,287.2,0.7,N
35.92916,-97.13124,351.2,0.45,0.47,2019-10-12,0748,N,nominal,1.0NRT,274.7,8.3,N
35.04415,-90.16492,302.1,0.38,0.36,2019-10-12,0748,N,nominal,1.0NRT,280.8,1.1,N
35.92801,-97.13246,320.3,0.45,0.47,2019-10-12,0748,N,nominal,1.0NRT,272.9,2.5,N
33.09149,-80.34097,299.2,0.34,0.56,2019-10-12,0748,N,nominal,1.0NRT,287.8,0.8,N
35.66526,-101.43641,302.3,0.39,0.59,2019-10-12,0748,N,nominal,1.0NRT,278.7,1.3,N
35.51485,-101.41161,298.3,0.38,0.59,2019-10-12,0748,N,nominal,1.0NRT,274.9,0.6,N
35.51461,-101.40739,296.5,0.38,0.59,2019-10-12,0748,N,nominal,1.0NRT,274.8,0.6,N
35.51414,-101.40926,321.1,0.38,0.59,2019-10-12,0748,N,nominal,1.0NRT,276.1,1.2,N
33.35183,-86.89674,297.9,0.46,0.39,2019-10-12,0748,N,nominal,1.0NRT,286.7,0.7,N
33.24625,-86.81852,299.8,0.46,0.39,2019-10-12,0748,N,nominal,1.0NRT,287.9,0.7,N
33.22298,-86.81449,300,0.46,0.39,2019-10-12,0748,N,nominal,1.0NRT,287.7,0.7,N
33.21835,-86.78989,315,0.47,0.39,2019-10-12,0748,N,nominal,1.0NRT,288.9,2,N
33.21939,-86.81541,302.2,0.46,0.39,2019-10-12,0748,N,nominal,1.0NRT,287.5,0.7,N
33.17862,-86.75889,309.2,0.47,0.4,2019-10-12,0748,N,nominal,1.0NRT,287.7,1.3,N
33.10377,-86.80122,305,0.47,0.4,2019-10-12,0748,N,nominal,1.0NRT,288,1.6,N
33.10285,-86.79632,299.6,0.47,0.4,2019-10-12,0748,N,nominal,1.0NRT,288,0.6,N
33.09303,-86.80408,308.2,0.47,0.4,2019-10-12,0748,N,nominal,1.0NRT,288.1,1.2,N
34.45982,-96.34822,313.4,0.39,0.44,2019-10-12,0748,N,nominal,1.0NRT,274,1.4,N
34.45958,-96.34623,315.3,0.39,0.44,2019-10-12,0748,N,nominal,1.0NRT,274,0.9,N
33.83955,-92.54894,303.5,0.41,0.37,2019-10-12,0748,N,nominal,1.0NRT,278.9,0.5,N
34.287,-96.46349,313.7,0.39,0.44,2019-10-12,0748,N,nominal,1.0NRT,274,1.3,N
34.28293,-96.46415,318.2,0.39,0.44,2019-10-12,0748,N,nominal,1.0NRT,274.1,1.9,N
33.78673,-93.51206,332.9,0.43,0.38,2019-10-12,0748,N,nominal,1.0NRT,282.4,5.9,N
32.72935,-86.93481,302.4,0.47,0.39,2019-10-12,0748,N,nominal,1.0NRT,287.8,1.2,N
32.72576,-86.93575,309.8,0.47,0.39,2019-10-12,0748,N,nominal,1.0NRT,288.2,1.2,N
32.72218,-86.93667,299.5,0.47,0.39,2019-10-12,0748,N,nominal,1.0NRT,287.8,1,N
33.54336,-94.2945,296.5,0.46,0.39,2019-10-12,0748,N,nominal,1.0NRT,277.8,0.7,N
33.88968,-97.60287,316.5,0.45,0.47,2019-10-12,0748,N,nominal,1.0NRT,274.3,1.6,N
31.38785,-84.13786,308.3,0.45,0.47,2019-10-12,0748,N,nominal,1.0NRT,285.9,1,N
31.36306,-84.18945,305.1,0.45,0.47,2019-10-12,0748,N,nominal,1.0NRT,285.7,0.7,N
33.07713,-95.23847,323.4,0.5,0.41,2019-10-12,0748,N,nominal,1.0NRT,277.9,1.5,N
33.19535,-97.80281,295.3,0.45,0.47,2019-10-12,0748,N,nominal,1.0NRT,278.3,0.7,N
32.48203,-92.15125,296.6,0.39,0.36,2019-10-12,0748,N,nominal,1.0NRT,284.6,0.4,N
32.90462,-97.67622,295.2,0.44,0.46,2019-10-12,0748,N,nominal,1.0NRT,276.8,0.8,N
32.27565,-92.72968,309.1,0.4,0.37,2019-10-12,0748,N,nominal,1.0NRT,286.6,1.3,N
32.47893,-94.70069,316.6,0.47,0.4,2019-10-12,0748,N,nominal,1.0NRT,279.4,1,N
32.42912,-94.68548,297.2,0.47,0.39,2019-10-12,0748,N,nominal,1.0NRT,281.8,2.2,N
32.29756,-94.76119,316.9,0.47,0.4,2019-10-12,0748,N,nominal,1.0NRT,279.5,2.2,N
32.45594,-97.04261,307,0.4,0.44,2019-10-12,0748,N,nominal,1.0NRT,279.7,0.8,N
31.61334,-93.46976,301.9,0.42,0.37,2019-10-12,0748,N,nominal,1.0NRT,282,1.2,N
32.46569,-101.70999,326.4,0.37,0.58,2019-10-12,0748,N,nominal,1.0NRT,275.3,1.4,N
31.77996,-95.00945,322.3,0.47,0.4,2019-10-12,0748,N,nominal,1.0NRT,280.5,3.1,N
32.40559,-101.55071,299.9,0.36,0.58,2019-10-12,0748,N,nominal,1.0NRT,272.8,0.8,N
32.45004,-103.16549,333.7,0.45,0.63,2019-10-12,0748,N,nominal,1.0NRT,278,2.2,N
32.35002,-101.95565,299.1,0.38,0.59,2019-10-12,0748,N,nominal,1.0NRT,275.3,1.4,N
32.30993,-101.85158,325.2,0.38,0.59,2019-10-12,0748,N,nominal,1.0NRT,275.3,1.8,N
32.27952,-101.40937,301.1,0.36,0.57,2019-10-12,0748,N,nominal,1.0NRT,277.6,0.7,N
32.28386,-101.70759,314.7,0.37,0.58,2019-10-12,0748,N,nominal,1.0NRT,275,1.4,N
32.28267,-101.70906,306.2,0.37,0.58,2019-10-12,0748,N,nominal,1.0NRT,274,0.8,N
32.26867,-101.97359,309.8,0.38,0.59,2019-10-12,0748,N,nominal,1.0NRT,274.7,1.6,N
32.38096,-103.88966,321.5,0.5,0.66,2019-10-12,0748,N,nominal,1.0NRT,277.9,3.3,N
32.36603,-103.8404,312,0.5,0.65,2019-10-12,0748,N,nominal,1.0NRT,277.2,2.6,N
32.35992,-103.84101,338.2,0.5,0.65,2019-10-12,0748,N,nominal,1.0NRT,276.8,2.6,N
32.33477,-104.20195,298.4,0.52,0.67,2019-10-12,0748,N,nominal,1.0NRT,276.4,1,N
32.18793,-102.00731,344.4,0.39,0.59,2019-10-12,0748,N,nominal,1.0NRT,278.1,3.7,N
32.12107,-101.0316,323.6,0.34,0.56,2019-10-12,0748,N,nominal,1.0NRT,274.6,1.9,N
32.1882,-102.01151,310.7,0.39,0.59,2019-10-12,0748,N,nominal,1.0NRT,274.7,3.9,N
32.17122,-101.75241,307.9,0.37,0.58,2019-10-12,0748,N,nominal,1.0NRT,277,0.8,N
32.1208,-101.02795,304.4,0.34,0.56,2019-10-12,0748,N,nominal,1.0NRT,272.6,1.9,N
32.11588,-101.03214,345.2,0.34,0.56,2019-10-12,0748,N,nominal,1.0NRT,275.9,1.9,N
32.11561,-101.02849,308.1,0.34,0.56,2019-10-12,0748,N,nominal,1.0NRT,272.6,1.9,N
